model,dataflow,array,layer,avf,std_avf
VGG-16,WS,32x32,block2_conv1,0.903615288602715,0.005424308668703276
VGG-16,WS,32x32,block2_conv2,0.887229408052691,0.006145224225655593
VGG-16,WS,32x32,block3_conv1,0.8336113641820031,0.008591439048213367
VGG-16,WS,32x32,block3_conv2,0.8457891668637485,0.006930951035212827
VGG-16,WS,32x32,block3_conv3,0.8147539848587462,0.0026924881393645727
VGG-16,WS,32x32,block4_conv1,0.7161772896365898,0.012049678020828519
VGG-16,WS,32x32,block4_conv2,0.7147691916405656,0.0018457143816501514
VGG-16,WS,32x32,block4_conv3,0.6964321421297615,0.0026142465305467326
VGG-16,WS,32x32,block5_conv1,0.5470174995510059,0.005086004559006939
VGG-16,WS,32x32,block5_conv2,0.550314370809387,0.001164826662718935
VGG-16,WS,32x32,block5_conv3,0.5462941511015325,0.0046369939467499
VGG-16,WS,32x32,fc1,0.02733644238945578,0.00314555789715602
VGG-16,WS,32x32,fc2,0.06846724660773026,0.010034895990957724
VGG-16,WS,32x32,predictions,0.06720957751826415,0.005765839210338573
VGG-16,WS,64x64,block1_conv1,0.4202316285393303,0.0
VGG-16,WS,64x64,block1_conv2,0.8418867897407644,0.011561199323648078
VGG-16,WS,64x64,block2_conv1,0.898057563794653,0.005384678339950184
VGG-16,WS,64x64,block2_conv2,0.8817895972351287,0.006093206138350731
VGG-16,WS,64x64,block3_conv1,0.8143591269716989,0.00834283648420808
VGG-16,WS,64x64,block3_conv2,0.8261866884054643,0.006730953953811291
VGG-16,WS,64x64,block3_conv3,0.7960469771779165,0.0026142212880876318
VGG-16,WS,64x64,block4_conv1,0.6620032446621416,0.010866851455918607
VGG-16,WS,64x64,block4_conv2,0.6606530090513062,0.0016598105568667902
VGG-16,WS,64x64,block4_conv3,0.6441031655954111,0.002363841224658292
VGG-16,WS,64x64,block5_conv1,0.45178425052623056,0.0040508163926775516
VGG-16,WS,64x64,block5_conv2,0.4541752685125216,0.000880687672657122
VGG-16,WS,64x64,block5_conv3,0.4511683892846863,0.003971740958215088
VGG-16,WS,64x64,fc1,0.023598730027023902,0.0031129596828604537
VGG-16,WS,64x64,fc2,0.06430328528918519,0.009930901818654391
VGG-16,WS,64x64,predictions,0.06293107630814392,0.005688727373765845
VGG-16,WS,128x128,block1_conv1,0.10505790713483258,0.0
VGG-16,WS,128x128,block1_conv2,0.37824866365430315,0.005190976997467189
VGG-16,WS,128x128,block2_conv1,0.7998901984143902,0.004785808869029589
VGG-16,WS,128x128,block2_conv2,0.871152380909529,0.00599158168532559
VGG-16,WS,128x128,block3_conv1,0.7790068096383941,0.007886357582778551
VGG-16,WS,128x128,block3_conv2,0.7901912333626798,0.006363706127078272
VGG-16,WS,128x128,block3_conv3,0.7616958488043634,0.0024705200437357033
VGG-16,WS,128x128,block4_conv1,0.5804169470848421,0.009086004877587733
VGG-16,WS,128x128,block4_conv2,0.5791538524245998,0.001383096351000214
VGG-16,WS,128x128,block4_conv3,0.5652955474184652,0.001992403484754238
VGG-16,WS,128x128,block5_conv1,0.35622147468822085,0.0030276968711997632
VGG-16,WS,128x128,block5_conv2,0.3577035049620339,0.0007537382245894473
VGG-16,WS,128x128,block5_conv3,0.35571347258266056,0.0033480939766817592
VGG-16,WS,128x128,fc1,0.021744512405974137,0.0030967882449592587
VGG-16,WS,128x128,fc2,0.0622376125724135,0.009879312020383805
VGG-16,WS,128x128,predictions,0.06080871452365007,0.00565047584430806
VGG-16,WS,256x256,block1_conv1,0.026264476783708145,0.0
VGG-16,WS,256x256,block1_conv2,0.1572652167324936,0.002155509616408604
VGG-16,WS,256x256,block2_conv1,0.3304537407316085,0.00197175935057391
VGG-16,WS,256x256,block2_conv2,0.3871962272445796,0.0026484250939414478
VGG-16,WS,256x256,block3_conv1,0.654358538661339,0.006482616091453791
VGG-16,WS,256x256,block3_conv2,0.7288273771493013,0.005737637603614737
VGG-16,WS,256x256,block3_conv3,0.7031351860824577,0.002225607489112596
VGG-16,WS,256x256,block4_conv1,0.4778813937425329,0.006849365149115806
VGG-16,WS,256x256,block4_conv2,0.47672781558019706,0.0010451750299270161
VGG-16,WS,256x256,block4_conv3,0.466252166638665,0.0015420603274121252
VGG-16,WS,256x256,block5_conv1,0.2795328437662422,0.0022325904920101913
VGG-16,WS,256x256,block5_conv2,0.2802854161252598,0.0008208704197612322
VGG-16,WS,256x256,block5_conv3,0.27911139805671054,0.002898718048078521
VGG-16,WS,256x256,fc1,0.020821029835907633,0.003088734152028025
VGG-16,WS,256x256,fc2,0.06120881599117911,0.009853618013943959
VGG-16,WS,256x256,predictions,0.05975171699891527,0.0056314254768119985
VGG-16,WS,512x512,block1_conv1,0.006566119195927036,0.0
VGG-16,WS,512x512,block1_conv2,0.05885608806373131,0.0008046409384776084
VGG-16,WS,512x512,block2_conv1,0.12292795367027073,0.0007295617296293819
VGG-16,WS,512x512,block2_conv2,0.15869563160553585,0.0010737108722990477
VGG-16,WS,512x512,block3_conv1,0.25934382121583727,0.0025007398153323694
VGG-16,WS,512x512,block3_conv2,0.3047305698278578,0.0023367604645111
VGG-16,WS,512x512,block3_conv3,0.29426703309881586,0.0009055625444389796
VGG-16,WS,512x512,block4_conv1,0.34899179045743817,0.004332797882251361
VGG-16,WS,512x512,block4_conv2,0.3736831572880716,0.000730734225414503
VGG-16,WS,512x512,block4_conv3,0.36661059460307616,0.0011283550493776649
VGG-16,WS,512x512,block5_conv1,0.22828887998253852,0.001731556850602879
VGG-16,WS,512x512,block5_conv2,0.22855402265976238,0.0009378480481783259
VGG-16,WS,512x512,block5_conv3,0.22792527195728965,0.0026366116367404786
VGG-16,WS,512x512,fc1,0.020360190976838617,0.003084714976011527
VGG-16,WS,512x512,fc2,0.06069542303924064,0.009840796118873651
VGG-16,WS,512x512,predictions,0.059224259271536114,0.005621919055737142
VGG-16,IS,32x32,block1_conv1,0.4449063620380584,5.551115123125783e-17
VGG-16,IS,32x32,block1_conv2,0.4422639439972983,0.004702283600078048
VGG-16,IS,32x32,block2_conv1,0.5955023023661417,0.0031502420616271202
VGG-16,IS,32x32,block2_conv2,0.585987043325213,0.003573057633343683
VGG-16,IS,32x32,block3_conv1,0.6695500620883272,0.006472869195384744
VGG-16,IS,32x32,block3_conv2,0.6787232817730267,0.0052214096332761995
VGG-16,IS,32x32,block3_conv3,0.6553430818756074,0.0020288221249695044
VGG-16,IS,32x32,block4_conv1,0.6736029127449108,0.01118029302293398
VGG-16,IS,32x32,block4_conv2,0.6723783200324019,0.0017186351731291077
VGG-16,IS,32x32,block4_conv3,0.6553776425965082,0.0024215766871308834
VGG-16,IS,32x32,block5_conv1,0.566000072509624,0.005281143951820931
VGG-16,IS,32x32,block5_conv2,0.569754821340681,0.001400604865446225
VGG-16,IS,32x32,block5_conv3,0.5653086218337464,0.004450183643885844
VGG-16,IS,32x32,fc1,0.02182280702615261,0.00018962718550710877
VGG-16,IS,32x32,fc2,0.02430234130800673,0.0006049448606055971
VGG-16,IS,32x32,predictions,0.023446863891563287,0.00033797093066527644
VGG-16,IS,64x64,block1_conv1,0.19540594883786847,2.7755575615628914e-17
VGG-16,IS,64x64,block1_conv2,0.33810119351013046,0.002925042554379254
VGG-16,IS,64x64,block2_conv1,0.46604248781535673,0.0021992255901925203
VGG-16,IS,64x64,block2_conv2,0.4593997598056518,0.00249439872516446
VGG-16,IS,64x64,block3_conv1,0.5613061025356829,0.005079605870817619
VGG-16,IS,64x64,block3_conv2,0.5685048175348864,0.00409751877050823
VGG-16,IS,64x64,block3_conv3,0.5501571270324273,0.0015921249859626048
VGG-16,IS,64x64,block4_conv1,0.5829279475002652,0.009319374014600302
VGG-16,IS,64x64,block4_conv2,0.5819071837796708,0.0014325746150107956
VGG-16,IS,64x64,block4_conv3,0.5677362071154929,0.00201851407705655
VGG-16,IS,64x64,block5_conv1,0.45168443211224335,0.004049261392462413
VGG-16,IS,64x64,block5_conv2,0.4545633461541053,0.001073898999816292
VGG-16,IS,64x64,block5_conv3,0.45115426960348265,0.0034121313455849544
VGG-16,IS,64x64,fc1,0.01078550648296259,9.337668298887814e-05
VGG-16,IS,64x64,fc2,0.012006484825163786,0.00029788842946467894
VGG-16,IS,64x64,predictions,0.011205567724075024,0.00015938913012297635
VGG-16,IS,128x128,block1_conv1,0.08129727621068919,0.0
VGG-16,IS,128x128,block1_conv2,0.24728020814244167,0.0015905440721481895
VGG-16,IS,128x128,block2_conv1,0.3304046793547105,0.0012993772995728715
VGG-16,IS,128x128,block2_conv2,0.349194360035681,0.0015553309698084275
VGG-16,IS,128x128,block3_conv1,0.43510376740992546,0.003493947711848429
VGG-16,IS,128x128,block3_conv2,0.4400553196443643,0.002818430542952502
VGG-16,IS,128x128,block3_conv3,0.4274350745152965,0.0010951246205220559
VGG-16,IS,128x128,block4_conv1,0.46218298411493164,0.006882629133138747
VGG-16,IS,128x128,block4_conv2,0.46142912037790307,0.0010579980763966955
VGG-16,IS,128x128,block4_conv3,0.45096344138690014,0.0014907314343898016
VGG-16,IS,128x128,block5_conv1,0.38461482044110085,0.0032197252044232397
VGG-16,IS,128x128,block5_conv2,0.3869039569535537,0.0008538988574928127
